number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
   153 ,Hilda              ,153 Hilda (A875 VC),7.74,2460796.5,0.1386167774768483,3.969626392343048,7.830095223778206,228.0824942824109,39.23615063514971,88.17458240657719
   190 ,Ismene             ,190 Ismene (A878 SA),7.88,2460796.5,0.168296211951513,3.994876753870224,6.174358638036106,175.4098723132364,271.3815448927332,170.4392851608299
   334 ,Chicago            ,334 Chicago (A892 QB),7.62,2460796.5,0.0243323162202417,3.936055914219834,4.652979994141837,129.4681645881231,179.5952216408135,129.1792762891658
   361 ,Bononia            ,361 Bononia (A893 EF),8.37,2460796.5,0.2115365067983745,3.983712443161337,12.57248514622064,18.62980211966687,66.97034103278604,9.94076792738898
   499 ,Venusia            ,499 Venusia (A902 YE),9.59,2460796.5,0.2173597940672987,4.015060811817814,2.092685252449613,256.169144135687,175.1632882509526,181.4099073599475
   748 ,Simeisa            ,748 Simeisa (A913 EL),9.08,2460796.5,0.1896812866999104,3.952421529945514,2.259100183348961,265.3880911289023,177.938096659266,189.2398121233431
   958 ,Asplinda           ,958 Asplinda (A921 SD),10.34,2460796.5,0.1859063734896969,4.008972799457178,5.613776886821598,342.692628593908,91.24414728115092,16.7595268605878
  1038 ,Tuckia             ,1038 Tuckia (A924 WO),10.64,2460796.5,0.2216531771307264,3.977431386706643,9.187022034954994,57.69306371440375,305.3746196473941,327.2232888870865
  1162 ,Larissa            ,1162 Larissa (1930 AC),9.59,2460796.5,0.1055553714924291,3.930088761431088,1.874567750047823,39.67171528399344,206.0029032777155,312.6195472059828
  1180 ,Rita               ,1180 Rita (1931 GE),9.41,2460796.5,0.1557138300495812,3.981150704104532,7.189017879096265,88.14550334237262,205.1362012274011,223.8491735782255
  1202 ,Marina             ,1202 Marina (1931 RL),10.04,2460796.5,0.1672645948847188,3.993862305640162,3.333224296358024,49.81636170639971,307.9709883354906,330.1344990503723
  1212 ,Francette          ,1212 Francette (1931 XC),9.61,2460796.5,0.1900341566060225,3.9481717954522,7.592821206001043,149.5591654241636,347.8903113075863,274.5719181759046
  1268 ,Libya              ,1268 Libya (1930 HJ),9.12,2460796.5,0.1038797524734076,3.984481666974008,4.422961886455272,350.9528161902894,118.9565126220177,145.3097239568864
  1269 ,Rollandia          ,1269 Rollandia (1930 SH),8.77,2460796.5,0.09634995705302049,3.913837959721849,2.75740068305329,134.632625501529,17.87646349627073,275.4971812614904
  1345 ,Potomac            ,1345 Potomac (A908 CE),9.83,2460796.5,0.1819499893342599,3.982442482721595,11.40367981368984,137.4248465515083,332.6133208038672,304.4521094216815
  1439 ,Vogtia             ,1439 Vogtia (1937 TE),10.65,2460796.5,0.1169367354370458,3.992025018128111,4.204775136935023,35.54150437927151,100.9991640818242,261.3109367050432
  1512 ,Oulu               ,1512 Oulu (1939 FE),9.53,2460796.5,0.142389047782149,3.967428578345249,6.466418952057126,10.05902021843589,237.2210418637416,324.4119674441896
  1529 ,Oterma             ,1529 Oterma (1938 BC),9.94,2460796.5,0.2056975034501419,4.003400131519071,9.071948873409676,100.5130041277696,294.4722829174175,37.06499086771101
  1578 ,Kirkwood           ,1578 Kirkwood (1951 AT),10.16,2460796.5,0.2413886439871609,3.929930978267393,0.8074547938558262,74.02460507566232,1.865273299891878,189.2953269076692
  1746 ,Brouwer            ,1746 Brouwer (1963 RF),9.97,2460796.5,0.2085302373050016,3.953719663715862,8.362420370375236,321.8701881280068,48.0273926687177,282.2237973978671
  1748 ,Mauderli           ,1748 Mauderli (1966 RA),10.69,2460796.5,0.2150301059543663,3.9528720101593,3.300449365796473,125.6002212031185,198.5229438481462,216.3154234476496
  1754 ,Cunningham         ,1754 Cunningham (1935 FE),9.91,2460796.5,0.1682608910040988,3.93509382443796,12.15835499978745,162.8203898565001,110.0487865535543,73.4425934771429
  1877 ,Marsden            ,1877 Marsden (1971 FC),10.91,2460796.5,0.2045105245393305,3.947910044563876,17.53253367844261,352.6150873411695,305.7087897694158,237.6003253530338
  1902 ,Shaposhnikov       ,1902 Shaposhnikov (1972 HU),9.33,2460796.5,0.2208235434030574,3.964463717705752,12.4831373234933,59.03552347195902,266.3213141553564,176.7496722429536
  1911 ,Schubart           ,1911 Schubart (1973 UD),10.03,2460796.5,0.1731059788710883,3.980186129829206,1.644321934447296,284.7755168599898,181.8213031569171,124.7449181473392
  1941 ,Wild               ,1941 Wild (1931 TN1),11.86,2460796.5,0.2890168353915425,3.958087204189396,3.957042046495299,60.40204080706626,303.0848912398017,278.0693144219799
  2067 ,Aksnes             ,2067 Aksnes (1936 DD),10.69,2460796.5,0.183611974815419,3.972453594330292,3.07946019191971,150.1882419963831,297.2629835076192,179.9344110131256
  2246 ,Bowell             ,2246 Bowell (1979 XH),10.41,2460796.5,0.09077849910159004,3.9551855865279,6.493972249483221,155.6153255187551,21.25479634200206,235.5323761768017
  2312 ,Duboshin           ,2312 Duboshin (1976 GU2),10.22,2460796.5,0.1582573321727289,3.970115415544377,5.162496066283933,61.40955477645239,342.6717588876891,213.6000007939391
  2483 ,Guinevere          ,2483 Guinevere (1928 QB),10.94,2460796.5,0.278604669834641,3.971490557456668,4.50190871300127,252.0344862789893,182.9753340181198,354.1384567515215
  2624 ,Samitchell         ,2624 Samitchell (1962 RE),10.89,2460796.5,0.1167925026845828,3.94379019795789,2.798813446112961,161.4972874013061,139.2052543220382,36.94715178255477
  2760 ,Kacha              ,2760 Kacha (1980 TU6),10.12,2460796.5,0.1207541136655204,3.997774330735768,13.47706764042801,352.4778564322938,150.4935912745749,94.59792989820548
  2959 ,Scholl             ,2959 Scholl (1983 RE2),11.16,2460796.5,0.2715061156569462,3.958323778292521,5.229015047156467,120.9656022313657,283.8588493401686,71.82469641359847
  3134 ,Kostinsky          ,3134 Kostinsky (A921 VA),10.5,2460796.5,0.2210008125530708,3.995866989201233,7.647163395361252,256.841199311373,161.7578786649209,35.39878637483475
  3202 ,Graff              ,3202 Graff (A908 AA),11.09,2460796.5,0.1147552520252503,3.926474810111032,11.11451500400084,205.1228310129165,267.893142480901,289.8411688684922
  3254 ,Bus                ,3254 Bus (1982 UM),11.33,2460796.5,0.1535811456546564,3.966682706355228,4.413341747284661,42.77664027335303,302.4538653975882,174.6822133974853
  3290 ,Azabu              ,3290 Azabu (1973 SZ1),12.21,2460796.5,0.1318230430429627,3.955715775946859,2.772528735146602,75.06168747369406,108.5851191096928,12.04129768503278
  3415 ,Danby              ,3415 Danby (1928 SL),11.02,2460796.5,0.2490275588508432,3.966023458475,1.373566834691837,253.5977254564864,135.2786817459997,76.42058598896516
  3514 ,Hooke              ,3514 Hooke (1971 UJ),11.85,2460796.5,0.1929985736806668,3.952157078180623,3.504356394123741,24.23950022199298,342.158346354567,323.0761814663687
  3557 ,Sokolsky           ,3557 Sokolsky (1977 QE1),11.01,2460796.5,0.1723514710735456,4.001553966879501,6.051991956830582,185.7495878137568,122.698435163105,15.90359115782096
  3561 ,Devine             ,3561 Devine (1983 HO),11.2,2460796.5,0.1282742987957016,3.952084076602938,9.68694817996876,117.7917735847881,176.9328204896792,50.5013358404215
  3571 ,Milanstefanik      ,3571 Milanstefanik (1982 EJ),11.2,2460796.5,0.110839403772224,3.931577796387109,7.859853055137947,248.9114244677361,21.57365756738892,109.029486736107
  3577 ,Putilin            ,3577 Putilin (1969 TK),10.51,2460796.5,0.1969346105661433,3.939229628686701,3.743804266670191,280.1491749476426,179.2890204551036,312.030903792952
  3655 ,Eupraksia          ,3655 Eupraksia (1978 SA3),11.05,2460796.5,0.2019785316498978,4.017626016610885,3.819877626444617,337.9407819233666,39.93151534938954,285.7571120356025
  3694 ,Sharon             ,3694 Sharon (1984 SH5),10.57,2460796.5,0.2082348996162124,3.934663178880462,4.986971126376536,310.59550870951,79.13319306105019,63.92055436514732
  3843 ,OISCA              ,3843 OISCA (1987 DM),10.78,2460796.5,0.146296291010763,3.988666461426473,3.925377506783397,28.28667687302051,23.61555409665518,4.084436757722202
  3923 ,Radzievskij        ,3923 Radzievskij (1976 SN3),11.74,2460796.5,0.2222510111468937,3.978272421432747,3.492012950997039,151.8313695072054,281.9756085242055,17.38076672619245
  3990 ,Heimdal            ,3990 Heimdal (1987 SO3),11.01,2460796.5,0.2420184302796645,3.944012177179746,9.49545293578933,192.595577438797,198.1222557691468,262.0568966499148
  4230 ,van den Bergh      ,4230 van den Bergh (1973 ST1),11.84,2460796.5,0.1351596835223063,3.951370030823338,3.100235051801776,160.4306939132951,19.64655368035447,33.36404939613546
  4255 ,Spacewatch         ,4255 Spacewatch (1986 GW),13.34,2460796.5,0.1485465903399191,3.979333763333835,2.609544588178973,183.7267477529847,72.33808976209052,297.882972005958
  4317 ,Garibaldi          ,4317 Garibaldi (1980 DA1),11.0,2460796.5,0.1609461345988152,3.986722564714278,9.823379257427348,38.43611221514639,94.48984521775145,268.1629671948915
  4446 ,Carolyn            ,4446 Carolyn (1985 TT),11.28,2460796.5,0.2804599756751541,3.982310976741068,7.244699828496944,188.9341358529663,117.3691407392522,37.20729124764554
  4495 ,Dassanowsky        ,4495 Dassanowsky (1988 VS),11.69,2460796.5,0.1464470096507704,3.962512484634352,5.283622566911426,223.3847546780601,210.1900149760589,226.3067488314533
  4757 ,Liselotte          ,4757 Liselotte (1973 ST),12.42,2460796.5,0.08491727073403417,3.945963544373313,0.1739980523855262,91.30903267436896,78.98649193761369,46.84634874483227
  5368 ,Vitagliano         ,5368 Vitagliano (1984 SW5),11.13,2460796.5,0.08125323743249332,3.971807581251194,6.26188587955694,159.5061990606047,337.1007338753504,280.6067555033006
  5439 ,Couturier          ,5439 Couturier (1990 RW),11.93,2460796.5,0.1634823528534017,3.928898084922868,1.217072182004886,350.880551881929,325.6812761876217,166.335967793514
  5603 ,Rausudake          ,5603 Rausudake (1992 CE),10.76,2460796.5,0.05340986812736925,3.989680872868977,4.371314867455397,195.930216436968,7.602314411901173,25.33824413751459
