number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
   153 ,Hilda              ,153 Hilda (A875 VC),7.74,2460796.5,0.1386167775309498,3.969626388178698,7.830095224525158,228.0824942815832,39.23615014954956,88.17458348189575
   190 ,Ismene             ,190 Ismene (A878 SA),7.89,2460796.5,0.1682962116693684,3.994876754840159,6.17435863796413,175.4098723197608,271.381544896868,170.4392850214
   334 ,Chicago            ,334 Chicago (A892 QB),7.62,2460796.5,0.02433231619941782,3.936055914364782,4.652979994672666,129.4681645927648,179.5952217221326,129.1792761744081
   361 ,Bononia            ,361 Bononia (A893 EF),8.37,2460796.5,0.2115365068032866,3.983712443185691,12.57248514587768,18.62980211910982,66.97034103427083,9.940767922785879
   499 ,Venusia            ,499 Venusia (A902 YE),9.6,2460796.5,0.2173597938792343,4.015060812473171,2.092685252431282,256.1691441428593,175.1632882416557,181.4099072742139
   748 ,Simeisa            ,748 Simeisa (A913 EL),9.09,2460796.5,0.1896812866276598,3.952421530152485,2.259100183407177,265.3880911324869,177.9380966454376,189.2398121085309
   958 ,Asplinda           ,958 Asplinda (A921 SD),10.34,2460796.5,0.1859063734898351,4.008972799537963,5.613776886678942,342.6926285950015,91.24414728697565,16.75952684725187
  1038 ,Tuckia             ,1038 Tuckia (A924 WO),10.64,2460796.5,0.2216531770935702,3.977431386487244,9.187022035476126,57.69306371247879,305.3746196492485,327.2232889150724
  1162 ,Larissa            ,1162 Larissa (1930 AC),9.59,2460796.5,0.1055553716236229,3.93008876212384,1.874567749297517,39.67171525321795,206.0029032148817,312.6195472018842
  1180 ,Rita               ,1180 Rita (1931 GE),9.41,2460796.5,0.1557138300267382,3.981150704271295,7.189017879058165,88.14550334319375,205.1362012109269,223.8491735717766
  1202 ,Marina             ,1202 Marina (1931 RL),10.04,2460796.5,0.1672645948093424,3.993862305218518,3.333224297552543,49.81636170967923,307.970988320296,330.1344991100869
  1212 ,Francette          ,1212 Francette (1931 XC),9.61,2460796.5,0.1900341564722799,3.94817179405175,7.592821206134768,149.5591654160188,347.8903114243782,274.5719182552874
  1268 ,Libya              ,1268 Libya (1930 HJ),9.12,2460796.5,0.1038797524487274,3.984481667106038,4.42296188688791,350.952816186209,118.9565126551501,145.3097239061787
  1269 ,Rollandia          ,1269 Rollandia (1930 SH),8.79,2460796.5,0.09634995704046333,3.913837959388709,2.757400683645179,134.6326255087536,17.8764635546226,275.4971812495037
  1345 ,Potomac            ,1345 Potomac (A908 CE),9.84,2460796.5,0.1819499887845552,3.982442480121222,11.4036798126041,137.4248465382912,332.6133209270582,304.4521096527546
  1439 ,Vogtia             ,1439 Vogtia (1937 TE),10.66,2460796.5,0.1169367354010155,3.992025017733338,4.204775137348975,35.54150439227043,100.9991641175051,261.3109367069342
  1512 ,Oulu               ,1512 Oulu (1939 FE),9.53,2460796.5,0.1423890480379941,3.967428579459574,6.466418953521623,10.05902019753337,237.2210418209443,324.4119673587529
  1529 ,Oterma             ,1529 Oterma (1938 BC),9.94,2460796.5,0.2056975034317905,4.003400131520249,9.071948873496515,100.5130041284299,294.472282916207,37.06499087153643
  1578 ,Kirkwood           ,1578 Kirkwood (1951 AT),10.16,2460796.5,0.2413886439519183,3.929930978364121,0.8074547938647211,74.02460506968552,1.865273308260882,189.295326889782
  1746 ,Brouwer            ,1746 Brouwer (1963 RF),9.97,2460796.5,0.2085302373181453,3.953719663730566,8.362420370330156,321.8701881266295,48.02739266725526,282.223797397787
  1748 ,Mauderli           ,1748 Mauderli (1966 RA),10.69,2460796.5,0.2150301058502145,3.952872010515771,3.300449366027033,125.6002212046592,198.522943831258,216.3154234117217
  1754 ,Cunningham         ,1754 Cunningham (1935 FE),9.93,2460796.5,0.1682608909173734,3.935093823371828,12.1583550007471,162.8203898534424,110.0487864651523,73.44259372134152
  1877 ,Marsden            ,1877 Marsden (1971 FC),10.91,2460796.5,0.2045105245400334,3.947910044563817,17.53253367845496,352.6150873410764,305.708789769809,237.6003253534319
  1902 ,Shaposhnikov       ,1902 Shaposhnikov (1972 HU),9.33,2460796.5,0.2208235433705917,3.964463717827453,12.48313732337546,59.03552347195859,266.3213141559263,176.7496722245997
  1911 ,Schubart           ,1911 Schubart (1973 UD),10.03,2460796.5,0.1731059788002018,3.980186130433079,1.644321935046919,284.7755168545601,181.8213032164303,124.7449180055361
  1941 ,Wild               ,1941 Wild (1931 TN1),11.87,2460796.5,0.2890168353795582,3.958087204117182,3.957042046610302,60.40204080154005,303.0848912462022,278.0693144277558
  2067 ,Aksnes             ,2067 Aksnes (1936 DD),10.7,2460796.5,0.1836119747550284,3.972453594519458,3.079460191817082,150.18824199623,297.2629835093779,179.9344109853172
  2246 ,Bowell             ,2246 Bowell (1979 XH),10.48,2460796.5,0.09077849909890055,3.955185586462323,6.49397224958956,155.6153255182863,21.25479635510766,235.5323761728027
  2312 ,Duboshin           ,2312 Duboshin (1976 GU2),10.23,2460796.5,0.1582573319562485,3.970115416403219,5.162496067027025,61.40955477564054,342.6717588424694,213.6000007265653
  2483 ,Guinevere          ,2483 Guinevere (1928 QB),10.94,2460796.5,0.2786046698023371,3.971490557372038,4.50190871319395,252.0344862777747,182.9753340189683,354.1384567655038
