idhere,H_mag
Hilda,7.74
Ismene,7.89
Chicago,7.62
Bononia,8.37
Venusia,9.6
Simeisa,9.09
Asplinda,10.34
Tuckia,10.64
Larissa,9.59
Rita,9.41
Marina,10.04
Francette,9.61
Libya,9.12
Rollandia,8.79
Potomac,9.84
Vogtia,10.66
Oulu,9.53
Oterma,9.94
Kirkwood,10.16
Brouwer,9.97
Mauderli,10.69
Cunningham,9.93
Marsden,10.91
Shaposhnikov,9.33
Schubart,10.03
Wild,11.87
Aksnes,10.7
Bowell,10.48
Duboshin,10.23
Guinevere,10.94
Samitchell,10.9
Kacha,10.13
Scholl,11.16
Kostinsky,10.5
Graff,11.12
Bus,11.33
Azabu,12.21
Danby,11.02
Hooke,11.87
Sokolsky,11.02
Devine,11.22
Milanstefanik,11.22
Putilin,10.53
Eupraksia,11.06
Sharon,10.57
OISCA,10.79
Radzievskij,11.74
Heimdal,11.02
van den Bergh,11.85
Spacewatch,13.34
Garibaldi,11.01
Carolyn,11.27
Dassanowsky,11.7
Liselotte,12.42
Vitagliano,11.13
Couturier,11.93
Rausudake,10.76
Hildebrand,11.09
Eneev,11.17
Pindarus,11.65
Mecklenburg,12.47
Chikushi,11.65
Lewiscarroll,10.77
Toshihanda,11.87
Semois,11.72
1989 VW,11.7
Xanthomalitia,11.28
Peterthomas,11.75
Seeberg,11.83
1992 OZ9,11.87
Hesiodos,12.41
Daitarabochi,11.3
Keneke,11.69
1995 YB2,12.79
Sawaishujiro,11.62
Hohmann,11.47
Murillo,12.24
Erinleeryan,12.83
Rominadisisto,13.0
Peterbluhm,11.97
Mameta,11.91
1996 XR1,12.38
1998 CV1,12.36
1997 AO1,11.81
1998 FY67,13.19
Etna,12.29
Castillo-Rogez,13.77
1998 VU4,11.26
1999 FU34,11.57
Solikamsk,11.56
Baton Rouge,12.06
1999 NM33,12.55
1994 AJ3,13.19
Hruschka,12.23
1991 UA,12.97
Geoffroy,12.43
1998 VM15,11.04
1989 UA6,11.92
1998 RQ77,13.08
1998 WJ17,12.58
1988 RV12,11.95
Vesuvius,12.56
1998 XD51,11.97
1998 QB32,12.48
Beletic,11.53
Hegel,13.17
Wiegert,14.1
Ehdita,12.09
Paquet,11.64
1996 WV1,13.04
Martak,12.65
Babylon,11.96
1998 SW43,12.97
1999 RF56,11.78
2000 CF18,12.25
2000 EK46,13.25
2000 HU1,12.49
2000 HR50,12.54
2000 JA65,11.5
Suzannedebarbat,12.41
Briancox,12.4
Chijagerbs,12.82
1997 XX3,12.21
Bredthauer,12.14
1998 FX68,12.17
1998 VV2,11.85
2000 AV183,12.6
Caniff,12.08
1981 EF48,13.23
Charleroi,11.47
1998 KD46,12.49
1999 ND26,13.2
Santorini,13.02
2000 CH67,11.65
Arasaki,11.72
1999 TS40,12.63
1999 TJ90,14.25
1999 TF118,13.01
Hodierna,13.07
Chapuis,12.17
Vaclavneumann,14.45
1999 VP61,13.07
2000 AA64,12.46
2000 AN106,12.41
2000 RK71,13.07
Levi-Strauss,13.54
1998 RU22,13.72
2000 HM40,11.84
2000 PO8,11.61
2001 AO16,11.49
Nisyros,13.07
Elyu-Ene,12.74
Glukhovsky,13.1
Jacoby,11.86
Stromboli,12.48
1997 CE18,13.5
2000 KJ1,12.46
2000 QF21,12.61
Muskau,13.88
1997 HC3,13.04
1998 FK121,13.17
1999 JF80,12.51
1999 LP7,13.8
Slyusarev,13.43
1981 EK47,13.77
Skarupa,13.21
Nucciomula,13.09
1998 FN48,13.02
Lipperhey,13.44
1999 RK134,12.04
2000 QV213,12.44
2000 SW60,13.16
2000 SY92,12.28
2001 QK7,13.17
Woerlitz,13.69
1999 RW42,12.48
Imelda,14.07
1981 EC7,13.7
1998 KQ23,12.99
Montigiani,13.4
2000 AV107,12.36
2000 SV239,13.75
2000 VD59,13.31
Spirit,14.3
1990 RY2,13.22
1991 RA14,13.13
Krasnoyarsk,13.26
1999 RA77,13.87
Deleflie,13.44
1999 VU68,14.17
1999 XM15,13.36
2000 AV110,12.23
Velehrad,13.49
2000 QB66,12.2
2000 QO90,13.16
Biets,13.01
2001 AT2,12.66
2001 BM36,12.38
2001 DB33,12.39
2001 OB100,13.02
Opportunity,14.48
Mosigkau,13.37
Janeausten,13.3
Charlottebronte,12.77
Tahiti,12.97
1998 VR13,13.23
1998 WV18,12.28
1999 XA90,13.12
1999 XM99,12.41
2000 AS27,13.04
2000 AO98,12.7
2000 AW234,13.44
Sindbad,12.63
2001 CR13,13.31
2001 CM36,13.21
2001 EG21,12.46
1992 ET32,14.0
1996 XY5,12.77
1999 BH13,13.0
2000 HR25,12.78
2000 SH209,12.67
2000 UQ51,14.11
2001 OG13,12.72
1994 PS38,13.25
2000 GT71,12.86
2000 HU61,13.38
2002 PQ51,13.39
von Wrangel,14.15
1998 HS136,12.73
Geraintjones,12.73
2000 KE9,14.17
2000 KY51,13.15
2000 QQ173,13.14
2001 OC61,14.04
2001 PR2,13.28
Alessiosquilloni,13.22
2001 QD14,13.63
2001 QZ17,13.13
2001 QW127,13.14
Honig,13.32
2002 NO18,13.18
2002 QX40,12.95
2002 RU61,14.27
1998 FR71,13.56
2000 PA12,12.93
2000 QN244,13.77
2000 SB81,13.12
2000 SM112,13.05
2000 SJ115,12.84
2000 SN284,13.22
2000 SA366,13.17
Marchini,13.67
2001 SH142,14.0
2001 TZ84,14.08
2001 UT83,13.76
2001 UK113,13.6
2000 SE189,13.37
2000 SR202,14.22
2000 SP307,13.25
2000 UB59,13.65
2001 VW22,13.96
Oranienstein,13.52
1991 TA9,14.25
Kamerlingh,13.63
1995 EW4,14.5
1998 TB33,13.03
1998 VY19,12.45
1998 WN35,13.14
1999 VL148,14.01
1999 XB235,13.54
2000 AX180,12.74
2000 AG251,13.55
Noviello,12.89
2000 SH16,13.4
2000 SW75,13.41
2000 SM77,14.35
2000 SU176,13.2
2000 SS223,14.21
2000 UF46,14.07
2000 VV39,14.41
2000 YL91,12.85
2001 BW35,12.99
2001 DT89,13.79
2001 OT56,13.39
2001 OY60,14.37
2001 UY149,14.9
2001 XN144,14.17
2001 XO240,14.62
2002 EW97,13.22
Ianwong,13.14
2002 PP55,13.16
2002 RF12,14.01
De Curtis,13.69
Madler,13.46
1998 KZ12,13.72
1998 XS73,12.17
1999 CR109,13.27
2000 CQ124,13.74
2000 ED70,12.87
2000 JJ21,12.82
2000 LH33,12.8
2001 DV70,13.39
2001 FL24,13.16
2001 PM14,13.54
2001 QM98,13.6
2002 OM20,13.16
1992 EZ10,13.5
1995 WV35,13.94
1998 BX,13.29
2002 LK36,13.19
2002 MH2,13.73
2002 NT36,14.13
2002 NZ43,13.01
2002 NZ47,13.3
2002 PV1,13.39
1981 ET6,13.44
Delphi,14.92
1997 EY5,14.16
1998 HP150,13.67
1998 JT4,13.71
2000 JX73,13.09
2000 QY14,13.85
2000 QC50,13.14
2000 QK57,13.38
2000 SA51,13.54
2000 ST222,13.02
2001 OH76,13.99
2001 QR174,14.08
2001 SG126,13.02
2001 SZ250,13.36
2001 SM251,14.33
2001 SH324,12.99
2001 TQ142,13.41
2001 TR147,13.52
2001 TV235,13.3
2002 NQ13,13.98
2002 NA28,13.28
2002 RM45,13.75
2002 RF51,14.14
2003 OR22,13.1
2003 PN6,12.91
Isakowitz,13.95
1981 EM20,14.38
1981 EC24,14.21
1993 TT9,14.15
1997 TL16,14.24
1998 KU29,13.6
1998 SC125,13.57
2000 RW68,13.65
2000 SG34,13.52
2000 SL191,13.58
2000 SN238,13.22
2000 SP238,13.03
2001 TL98,13.59
2001 TG218,14.09
2001 TA222,13.66
2001 UC77,13.88
2001 UE96,14.55
2001 UN157,14.35
2001 UR166,14.29
2001 VS8,13.93
Jean-Claude,13.94
2002 RH12,13.28
1981 EO29,14.52
1988 SL2,13.91
1988 SQ2,13.42
1998 DC2,13.75
1999 XO213,13.58
2000 CL9,13.18
2000 SG23,14.0
2000 SO145,13.44
2000 TM4,14.43
2001 BT65,12.61
2001 CX15,13.14
2001 DZ25,13.62
2001 FV69,13.04
Post,14.31
2002 EB70,13.99
2004 CV2,13.64
Buratti,14.13
1988 RO12,13.65
1993 FQ15,13.86
1999 DN,13.45
1999 FU44,12.92
2000 CB54,13.21
2000 DS8,14.29
2000 DC45,13.63
2000 DV76,14.16
2000 EX14,13.53
2000 GS53,13.23
2000 GP147,13.72
2001 DO,13.73
2001 DN34,13.61
2001 DB108,13.53
2003 QP12,12.89
2003 SU101,13.2
Toscanos,13.8
1988 SR2,13.79
1999 AQ35,13.96
2000 GU62,13.78
2000 QG199,13.76
2001 LM,13.95
2001 QC20,13.64
2001 RV52,13.89
2002 NS52,13.55
Kenlevin,14.61
2002 PB78,12.99
1981 EJ21,14.29
Demosthenes,14.38
Jeanbailly,14.04
Monceau,14.64
1998 RP72,13.96
1999 RY41,13.73
2000 BO17,13.61
2000 EB43,13.77
2000 HH98,14.47
2000 JQ40,13.26
2000 SP224,13.4
2001 MC,14.1
2001 MJ16,14.05
2001 PR6,14.27
2001 PR61,14.34
2001 QE69,13.41
2001 QF289,14.44
2001 SN49,14.23
2001 SA136,14.46
2001 TX176,14.11
2001 UT76,13.68
2001 UX141,14.11
2002 CA94,13.2
2002 EO139,13.57
2002 GA22,13.72
2002 GG114,13.61
2002 ND53,14.76
2002 OM3,13.71
2002 PK44,14.17
2002 PS56,13.8
2002 PO101,14.28
2002 QG8,13.95
2002 RN121,13.54
2002 ST23,13.73
Rauracia,13.99
2003 BQ1,14.23
2003 HR29,13.94
2003 OX21,13.76
2003 OB28,13.68
2003 QP51,13.75
2003 QE57,13.9
2003 QA73,13.77
2003 SU13,14.42
2003 SK18,13.28
2003 SF81,13.47
2003 SZ215,14.03
2003 SJ271,14.01
2003 TV6,12.78
2003 TF16,14.01
2003 YH47,13.92
2003 YE58,13.68
2004 BN12,14.54
2004 BN38,14.65
2004 EC34,14.38
2004 OF3,13.77
2004 OT6,14.17
2004 PU1,14.18
2004 PG11,14.06
2004 PW60,13.65
2004 RF176,13.67
2004 TU221,13.07
2005 EC205,14.84
Zambujal,13.33
1992 EZ13,14.19
2000 EU11,13.32
2002 EX6,14.38
2002 EX84,14.03
2002 ES112,14.18
2002 GD23,14.04
2002 GJ129,14.17
2002 GN171,13.86
2002 JH12,14.14
2002 JD53,13.31
2002 KF2,14.09
2003 KB11,14.59
2003 QY75,13.6
2004 HO59,14.13
2004 ND17,14.35
2004 PX53,14.18
2005 NU17,13.95
1995 YD5,14.23
1996 VK9,13.96
1998 AX1,14.8
1998 VM11,13.9
1998 YM31,13.87
1999 CV29,14.0
1999 FA2,14.38
2001 HS41,13.8
2001 OR24,14.26
2001 QD18,13.82
2001 SP261,14.31
2001 UO56,14.07
2001 VZ22,13.94
2002 OV21,14.61
2002 PW66,14.15
2002 PY118,13.88
2002 PM124,14.45
2002 RP94,13.95
2002 UJ16,14.32
2003 NW2,13.28
2003 QA35,14.39
2003 QY39,14.1
2003 RP9,13.68
2003 SR39,14.04
2003 SN52,15.39
2003 SS65,14.02
2003 ST150,13.86
2003 SL259,14.84
2003 WD111,14.83
2004 MS,13.96
2004 RT11,14.23
2004 SQ20,14.68
2004 TR256,14.9
2004 TP296,15.23
2004 VZ70,14.45
2005 QS13,14.68
1998 HP43,14.23
2000 QT59,14.07
2000 SE19,13.99
2001 OL58,14.36
2001 RM7,14.68
2001 RT111,14.61
2001 SW273,14.48
2002 RO95,14.55
Notkin,14.51
2003 SY90,14.9
2003 UZ10,15.11
2003 UM112,14.54
2004 VU53,15.15
Stephaniebarnes,14.21
2005 CB68,14.18
2005 YD54,14.77
1998 RT5,14.14
1999 RS177,14.35
1999 TH191,13.65
1999 UV44,14.23
1999 VT37,13.87
1999 XP61,14.3
2000 YC37,13.7
1997 PW4,14.37
1997 UL19,14.77
1998 QK6,13.91
1998 SF122,14.21
1998 SM130,14.19
1998 SW130,14.24
1999 TK10,14.3
1999 TQ97,13.63
1999 VL59,14.48
1999 YD25,14.17
2000 GX173,13.66
2001 RL11,13.42
2002 EW58,13.54
2002 EB136,14.34
