idhere,H_mag,family
Hilda,7.74,Hilda
Ismene,7.89,Background
Chicago,7.62,Background
Bononia,8.37,Background
Venusia,9.6,Background
Simeisa,9.09,Background
Asplinda,10.34,Background
Tuckia,10.64,Background
Larissa,9.59,Background
Rita,9.41,Background
Marina,10.04,Background
Francette,9.61,Francette
Libya,9.12,Background
Rollandia,8.79,Background
Potomac,9.84,Potomac
Vogtia,10.66,Background
Oulu,9.53,Background
Oterma,9.94,Background
Kirkwood,10.16,Background
Brouwer,9.97,Background
Mauderli,10.69,Background
Cunningham,9.93,Background
Marsden,10.91,Background
Shaposhnikov,9.33,Background
Schubart,10.03,Schubart
Wild,11.87,Background
Aksnes,10.7,Background
Bowell,10.48,Background
Duboshin,10.23,Background
Guinevere,10.94,Guinevere
Samitchell,10.9,Background
Kacha,10.13,Background
Scholl,11.16,Background
Kostinsky,10.5,Hilda
Graff,11.12,Background
Bus,11.33,Background
Azabu,12.21,Background
Danby,11.02,Background
Hooke,11.87,Background
Sokolsky,11.02,Background
Devine,11.22,Background
Milanstefanik,11.22,Background
Putilin,10.53,Background
Eupraksia,11.06,Background
Sharon,10.57,Background
OISCA,10.79,Background
Radzievskij,11.74,Schubart
Heimdal,11.02,Hilda
van den Bergh,11.85,Schubart
Spacewatch,13.34,Schubart
Garibaldi,11.01,Background
Carolyn,11.27,Background
Dassanowsky,11.7,Background
Liselotte,12.42,Background
Vitagliano,11.13,Background
Couturier,11.93,Background
Rausudake,10.76,Background
Hildebrand,11.09,Background
Eneev,11.17,Background
Pindarus,11.65,Hilda
Mecklenburg,12.47,Hilda
Chikushi,11.65,Background
Lewiscarroll,10.77,Background
Toshihanda,11.87,Potomac
Semois,11.72,Background
1989 VW,11.7,Background
Xanthomalitia,11.28,Background
Peterthomas,11.75,Background
Seeberg,11.83,Background
1992 OZ9,11.87,Schubart
Hesiodos,12.41,Schubart
Daitarabochi,11.3,Background
Keneke,11.69,Background
1995 YB2,12.79,Schubart
Sawaishujiro,11.62,Background
Hohmann,11.47,Background
Murillo,12.24,Schubart
Erinleeryan,12.83,Background
Rominadisisto,13.0,Background
Peterbluhm,11.97,Background
Mameta,11.91,Background
1996 XR1,12.38,Background
1998 CV1,12.36,Background
1997 AO1,11.81,Background
1998 FY67,13.19,Hilda
Etna,12.29,Background
Castillo-Rogez,13.77,Background
1998 VU4,11.26,Background
1999 FU34,11.57,Background
Solikamsk,11.56,Background
Baton Rouge,12.06,Background
1999 NM33,12.55,Background
1994 AJ3,13.19,Background
Hruschka,12.23,Background
1991 UA,12.97,Schubart
Geoffroy,12.43,Background
1998 VM15,11.04,Background
1989 UA6,11.92,Schubart
1998 RQ77,13.08,Background
1998 WJ17,12.58,Background
1988 RV12,11.95,Background
Vesuvius,12.56,Background
1998 XD51,11.97,Hilda
1998 QB32,12.48,Potomac
Beletic,11.53,Background
Hegel,13.17,Background
Wiegert,14.1,Background
Ehdita,12.09,Background
Paquet,11.64,Background
1996 WV1,13.04,Background
Martak,12.65,Background
Babylon,11.96,Background
1998 SW43,12.97,Background
1999 RF56,11.78,Background
2000 CF18,12.25,Background
2000 EK46,13.25,Schubart
2000 HU1,12.49,Schubart
2000 HR50,12.54,Background
2000 JA65,11.5,Background
Suzannedebarbat,12.41,Background
Briancox,12.4,Background
Chijagerbs,12.82,Hilda
1997 XX3,12.21,Background
Bredthauer,12.14,Hilda
1998 FX68,12.17,Background
1998 VV2,11.85,Background
2000 AV183,12.6,Hilda
Caniff,12.08,Background
1981 EF48,13.23,Background
Charleroi,11.47,Hilda
1998 KD46,12.49,Background
1999 ND26,13.2,Schubart
Santorini,13.02,Schubart
2000 CH67,11.65,Background
Arasaki,11.72,Background
1999 TS40,12.63,Background
1999 TJ90,14.25,Background
1999 TF118,13.01,Background
Hodierna,13.07,Background
Chapuis,12.17,Hilda
Vaclavneumann,14.45,Background
1999 VP61,13.07,Schubart
2000 AA64,12.46,Background
2000 AN106,12.41,Background
2000 RK71,13.07,Background
Levi-Strauss,13.54,Schubart
1998 RU22,13.72,Schubart
2000 HM40,11.84,Background
2000 PO8,11.61,Background
2001 AO16,11.49,Background
Nisyros,13.07,Background
Elyu-Ene,12.74,Background
Glukhovsky,13.1,Schubart
Jacoby,11.86,Background
Stromboli,12.48,Background
1997 CE18,13.5,Hilda
2000 KJ1,12.46,Background
2000 QF21,12.61,Background
Muskau,13.88,Background
1997 HC3,13.04,Background
1998 FK121,13.17,Background
1999 JF80,12.51,Background
1999 LP7,13.8,Schubart
Slyusarev,13.43,Background
1981 EK47,13.77,Schubart
Skarupa,13.21,Background
Nucciomula,13.09,Background
1998 FN48,13.02,Hilda
Lipperhey,13.44,Hilda
1999 RK134,12.04,Background
2000 QV213,12.44,Background
2000 SW60,13.16,Hilda
2000 SY92,12.28,Background
2001 QK7,13.17,Background
Woerlitz,13.69,Hilda
1999 RW42,12.48,Background
Imelda,14.07,Background
1981 EC7,13.7,Hilda
1998 KQ23,12.99,Hilda
Montigiani,13.4,Background
2000 AV107,12.36,Background
2000 SV239,13.75,Background
2000 VD59,13.31,Background
Spirit,14.3,Hilda
1990 RY2,13.22,Background
1991 RA14,13.13,Hilda
Krasnoyarsk,13.26,Schubart
1999 RA77,13.87,Schubart
Deleflie,13.44,Background
1999 VU68,14.17,Background
1999 XM15,13.36,Background
2000 AV110,12.23,Background
Velehrad,13.49,Schubart
2000 QB66,12.2,Hilda
2000 QO90,13.16,Background
Biets,13.01,Background
2001 AT2,12.66,Background
2001 BM36,12.38,Hilda
2001 DB33,12.39,Background
2001 OB100,13.02,Background
Opportunity,14.48,Background
Mosigkau,13.37,Schubart
Janeausten,13.3,Background
Charlottebronte,12.77,Background
Tahiti,12.97,Hilda
1998 VR13,13.23,Background
1998 WV18,12.28,Background
1999 XA90,13.12,Hilda
1999 XM99,12.41,Background
2000 AS27,13.04,Background
2000 AO98,12.7,Hilda
2000 AW234,13.44,Background
Sindbad,12.63,Hilda
2001 CR13,13.31,Background
2001 CM36,13.21,Hilda
2001 EG21,12.46,Background
1992 ET32,14.0,Background
1996 XY5,12.77,Background
1999 BH13,13.0,Background
2000 HR25,12.78,Background
2000 SH209,12.67,Background
2000 UQ51,14.11,Background
2001 OG13,12.72,Background
1994 PS38,13.25,Schubart
2000 GT71,12.86,Background
2000 HU61,13.38,Background
2002 PQ51,13.39,Background
von Wrangel,14.15,Background
1998 HS136,12.73,Background
Geraintjones,12.73,Hilda
2000 KE9,14.17,Background
2000 KY51,13.15,Background
2000 QQ173,13.14,Potomac
2001 OC61,14.04,Background
2001 PR2,13.28,Background
Alessiosquilloni,13.22,Potomac
2001 QD14,13.63,Background
2001 QZ17,13.13,Schubart
2001 QW127,13.14,Hilda
Honig,13.32,Background
2002 NO18,13.18,Background
2002 QX40,12.95,Background
2002 RU61,14.27,Schubart
1998 FR71,13.56,Background
2000 PA12,12.93,Background
2000 QN244,13.77,Background
2000 SB81,13.12,Background
2000 SM112,13.05,Hilda
2000 SJ115,12.84,Background
2000 SN284,13.22,Background
2000 SA366,13.17,Background
Marchini,13.67,Background
2001 SH142,14.0,Background
2001 TZ84,14.08,Schubart
2001 UT83,13.76,Background
2001 UK113,13.6,Schubart
2000 SE189,13.37,Hilda
2000 SR202,14.22,Schubart
2000 SP307,13.25,Hilda
2000 UB59,13.65,Background
2001 VW22,13.96,Schubart
Oranienstein,13.52,Background
1991 TA9,14.25,Background
Kamerlingh,13.63,Background
1995 EW4,14.5,Background
1998 TB33,13.03,Background
1998 VY19,12.45,Background
1998 WN35,13.14,Background
1999 VL148,14.01,Hilda
1999 XB235,13.54,Background
2000 AX180,12.74,Background
2000 AG251,13.55,Background
Noviello,12.89,Hilda
2000 SH16,13.4,Hilda
2000 SW75,13.41,Potomac
2000 SM77,14.35,Schubart
2000 SU176,13.2,Hilda
2000 SS223,14.21,Schubart
2000 UF46,14.07,Background
2000 VV39,14.41,Background
2000 YL91,12.85,Background
2001 BW35,12.99,Background
2001 DT89,13.79,Background
2001 OT56,13.39,Background
2001 OY60,14.37,Schubart
2001 UY149,14.9,Background
2001 XN144,14.17,Schubart
2001 XO240,14.62,Background
2002 EW97,13.22,Background
Ianwong,13.14,Background
2002 PP55,13.16,Hilda
2002 RF12,14.01,Schubart
De Curtis,13.69,Background
Madler,13.46,Background
1998 KZ12,13.72,Background
1998 XS73,12.17,Hilda
1999 CR109,13.27,Hilda
2000 CQ124,13.74,Background
