idhere,H_mag
Hilda,7.74
Kostinsky,10.5
Heimdal,11.02
Pindarus,11.65
Mecklenburg,12.47
1998 FY67,13.19
1998 XD51,11.97
Chijagerbs,12.82
Bredthauer,12.14
2000 AV183,12.6
Charleroi,11.47
Chapuis,12.17
1997 CE18,13.5
1998 FN48,13.02
Lipperhey,13.44
2000 SW60,13.16
Woerlitz,13.69
1981 EC7,13.7
1998 KQ23,12.99
Spirit,14.3
1991 RA14,13.13
2000 QB66,12.2
2001 BM36,12.38
Tahiti,12.97
1999 XA90,13.12
2000 AO98,12.7
Sindbad,12.63
2001 CM36,13.21
Geraintjones,12.73
2001 QW127,13.14
2000 SM112,13.05
2000 SE189,13.37
2000 SP307,13.25
1999 VL148,14.01
Noviello,12.89
2000 SH16,13.4
2000 SU176,13.2
2002 PP55,13.16
1998 XS73,12.17
1999 CR109,13.27
2000 ED70,12.87
2000 JJ21,12.82
2000 LH33,12.8
2001 PM14,13.54
2001 QM98,13.6
2002 MH2,13.73
2002 NT36,14.13
2002 NZ43,13.01
2002 NZ47,13.3
2000 QC50,13.14
2001 SG126,13.02
2001 SH324,12.99
2001 TR147,13.52
2001 TV235,13.3
2002 RF51,14.14
1981 EM20,14.38
2000 SL191,13.58
2001 TG218,14.09
2001 TA222,13.66
2001 UC77,13.88
2001 VS8,13.93
2000 CL9,13.18
2001 BT65,12.61
2001 FV69,13.04
Buratti,14.13
1993 FQ15,13.86
1999 DN,13.45
1999 FU44,12.92
2000 CB54,13.21
2000 EX14,13.53
2001 DN34,13.61
1999 AQ35,13.96
2001 LM,13.95
Kenlevin,14.61
1981 EJ21,14.29
1998 RP72,13.96
2000 JQ40,13.26
2001 QE69,13.41
2001 QF289,14.44
2001 TX176,14.11
2001 UX141,14.11
2002 CA94,13.2
2002 OM3,13.71
2002 RN121,13.54
2003 BQ1,14.23
2003 HR29,13.94
2003 SK18,13.28
2003 SJ271,14.01
2004 PG11,14.06
2004 PW60,13.65
2004 TU221,13.07
1992 EZ13,14.19
2000 EU11,13.32
2002 EX6,14.38
2002 JD53,13.31
1996 VK9,13.96
1998 YM31,13.87
1999 CV29,14.0
2001 HS41,13.8
2001 QD18,13.82
2002 OV21,14.61
2003 SR39,14.04
2004 TR256,14.9
2003 UM112,14.54
2005 CB68,14.18
1999 TH191,13.65
1999 TQ97,13.63
2000 GX173,13.66
2002 EB136,14.34
2005 PC2,13.87
2005 SL262,14.45
2000 CD104,13.62
2000 DG88,13.89
2005 VN39,13.9
2004 RO71,14.07
2004 RT318,14.4
2004 TG123,13.99
2002 RP42,14.28
2003 QV25,13.99
2003 UM263,14.61
2003 QW88,13.54
1998 BO28,14.5
2000 OK33,14.17
2001 QN221,14.11
2002 PH94,14.32
2002 JM23,14.28
2000 XT4,14.68
1999 TR314,14.02
1999 VU77,14.29
1999 XE7,14.14
1999 TV143,14.38
2000 QD218,14.3
2000 US23,14.63
2001 DN47,14.17
1999 VQ212,14.71
1999 VG104,14.4
1999 XN122,13.79
1999 XZ163,13.73
2004 RH157,13.83
2005 OR7,13.99
2004 NX10,13.85
1993 FU53,14.21
2008 CC70,13.98
1997 UN5,14.62
2003 SD25,14.18
2004 RB81,14.17
2004 RD235,14.3
2008 CJ7,14.47
2003 QW64,14.3
2005 UJ361,15.17
2007 DB3,14.73
2002 NW37,14.26
2003 WW1,14.5
2006 AX21,14.46
2001 UO165,13.88
