idhere,H_mag
Potomac,9.84
Toshihanda,11.87
1998 QB32,12.48
2000 QQ173,13.14
Alessiosquilloni,13.22
2000 SW75,13.41
2001 FL24,13.16
2002 LK36,13.19
1981 ET6,13.44
2001 QR174,14.08
2001 CX15,13.14
2003 SU101,13.2
2002 PO101,14.28
Rauracia,13.99
2003 YH47,13.92
2004 RF176,13.67
2003 NW2,13.28
2003 RP9,13.68
Stephaniebarnes,14.21
2001 RL11,13.42
2005 TC86,13.95
2005 WD6,14.11
2001 QT50,14.12
1999 TC154,14.73
2000 XV23,13.9
1999 TV233,14.96
2006 VX28,13.77
2005 MC54,14.43
2000 WP173,14.49
2002 JP10,13.95
2000 JK68,14.96
2004 TG66,14.47
2005 WK156,14.39
2000 SQ174,14.3
2000 US24,14.33
2000 WY13,14.74
2001 XR257,14.33
2004 FB98,14.3
1998 SM160,14.68
2005 SO282,14.94
2001 OK77,14.59
2001 QR225,13.74
2005 EK131,14.39
2003 YL32,14.08
2001 XR207,14.52
2002 AT169,15.44
2000 TJ25,14.95
2002 CH304,15.02
2007 RC33,14.68
2008 CK157,14.64
2002 GS41,14.26
2002 GB129,14.59
2003 MX,14.63
2003 WB170,14.79
2004 PC24,14.73
2002 PV103,14.88
2001 TC255,14.81
2002 TN210,14.79
2003 AK16,14.12
2004 BR81,14.34
2008 HX33,14.7
2001 UX13,14.72
2003 DR4,14.94
2003 BX91,15.42
2001 VK115,14.78
2005 QX156,14.54
2006 WT82,14.79
2005 UX258,14.86
2003 SR183,14.58
2006 QN32,14.93
2003 SW193,15.01
2006 BX182,14.71
2003 WR81,15.36
2003 YP64,14.21
2005 EO79,14.69
2005 GF25,15.09
2005 GW111,14.44
2004 CV99,14.79
2008 TZ54,15.44
2008 WA91,15.63
2011 CT88,15.81
2011 DV15,15.4
2005 WL33,14.76
2007 CR45,15.24
2007 UW105,14.92
2009 CK49,14.7
2004 VQ21,15.06
2003 UT18,15.27
2004 XT70,15.07
2003 SR227,15.17
2005 JM52,14.98
2007 UQ30,15.03
2008 RU121,15.49
2005 NY68,14.84
2010 GU28,14.43
2005 UD424,15.49
2005 WJ150,15.14
2011 HB57,15.19
2005 VF88,15.16
2006 EU73,14.78
2005 YS57,15.97
2008 FD132,15.5
2013 GH79,14.43
2004 TS32,15.73
2013 GW80,14.92
Tsawout,15.75
2008 VE11,15.45
2008 AH7,15.11
2013 NN1,14.99
2005 WX21,15.38
2007 BQ34,15.6
2013 QJ84,15.08
2013 SH53,15.75
2005 UY522,16.09
2008 FS48,15.02
2011 QP92,15.6
2011 US23,15.48
2000 WB132,15.14
2013 YX105,15.76
2000 XH11,14.65
2007 RQ107,15.25
2009 WN10,15.1
2012 AX23,14.79
2013 EX104,15.23
2005 EN210,15.22
2014 OX122,15.48
2007 TQ444,15.52
2006 WK67,15.18
2008 CZ76,14.93
2010 AU91,14.96
2008 CU80,15.76
2011 WC136,15.33
2015 NS23,14.93
2015 FY298,15.65
2008 WE28,16.0
2009 WU251,15.47
2009 WH261,15.12
2015 RY107,15.7
2007 RH239,15.74
2014 NP55,15.16
2015 OU40,15.37
2007 RW255,15.77
2016 XW14,15.55
2010 JE41,15.7
2012 VD34,15.22
2015 KB28,15.89
2016 QQ36,15.24
2008 TV107,16.02
2012 BN10,15.96
2017 QJ10,15.41
2016 TQ79,15.93
2004 KO19,15.28
2015 DO230,15.74
2003 UK224,16.27
2006 RE18,15.15
2011 QE37,16.11
2013 CO57,14.66
2011 AW89,15.86
2011 HB31,15.48
2010 WK34,14.93
2013 GL59,16.08
2014 JJ118,15.79
2016 GU6,15.98
2005 QK146,14.86
2010 XD107,15.98
2012 DD112,15.92
2014 UN183,15.66
2014 UL214,15.7
2005 QB189,14.91
2005 SQ115,16.06
2006 WG202,15.77
2015 AW49,15.31
2008 DV34,15.57
2014 XR1,15.33
2015 KN7,15.91
2016 GQ207,15.48
2017 EN30,15.9
2017 HV18,15.74
2004 VJ73,15.62
2005 UR520,15.68
2005 WZ35,15.85
2007 DV10,15.94
2020 BB68,15.57
2005 JO114,15.34
2014 OO22,15.55
2015 HE181,14.85
2016 EE45,15.47
2005 XF131,15.66
2007 TB185,16.01
2011 PB16,15.76
2014 SK253,15.59
2015 QW11,15.46
2015 TE278,15.98
2016 XC19,15.64
2017 FQ116,15.68
2019 GR25,15.68
2003 GX57,15.51
2005 UF62,15.98
2006 SO375,15.53
2008 GK136,15.6
2011 HQ66,15.47
2012 TQ324,15.23
2014 DH1,15.46
2014 WG355,15.89
2015 CX19,15.41
2016 AZ294,16.25
2016 CL9,16.1
2016 FJ26,15.57
2000 JT96,15.47
2008 AR141,15.76
2012 VY122,15.8
2014 YW90,16.06
2015 BM516,16.19
1995 SJ75,15.93
2001 VG129,15.13
2002 PB198,15.53
2002 QO100,16.0
2003 SR121,15.78
2003 SX336,16.1
2003 SY406,15.91
2003 SW451,15.48
2004 EC106,15.73
2005 QR203,16.04
2005 SR261,15.69
2005 WQ132,16.14
2006 KO138,15.52
2006 QP90,16.27
2006 QF207,16.13
2006 UG290,15.71
2006 UD346,15.99
2006 UV352,15.62
2006 UM373,15.34
2006 UX390,16.1
2007 DD133,16.1
2007 GX77,15.82
2007 LV38,15.93
2007 MU18,15.58
2007 WG45,15.81
2007 YE81,16.07
2008 CV78,15.4
2008 RN14,15.57
2008 TJ106,16.01
2008 TG240,15.82
2008 UU305,15.65
2008 VR81,16.04
2008 WZ77,16.25
2009 HU120,16.19
2009 SB151,16.07
2010 BX14,15.77
2010 BG39,15.55
2010 BR152,15.51
2010 CW189,15.17
2010 CE241,15.95
2010 CT241,16.0
2010 FL41,16.15
2010 FE50,15.82
2010 GY16,15.84
2010 KX135,15.79
2010 LM80,15.41
2010 MA98,16.3
2010 NO27,15.7
2010 NM41,15.71
2010 OC39,15.99
2010 ON61,15.84
2010 PC34,15.7
2010 UB30,15.7
2011 BG197,16.3
2011 DM15,16.05
2011 FB17,15.04
2011 SW215,16.2
2011 SJ254,16.1
2011 UG427,16.1
2011 UT433,15.7
2011 WC31,15.69
2011 WY106,15.88
2011 XE7,16.21
2012 GS3,16.0
2012 PO3,16.07
2012 TA283,16.29
2012 UX130,15.95
2012 UA221,16.29
2012 UQ222,16.3
2012 WE10,16.04
2012 XL28,16.11
2013 BY62,15.44
2013 JH68,15.64
2013 MV9,16.11
2013 NW1,16.13
2013 NZ63,16.29
2013 RG143,15.6
2013 YC165,16.09
2014 BS24,16.25
2014 DZ,16.16
2014 EO110,16.1
2014 EM231,16.23
2014 FJ87,16.12
2014 GQ84,15.84
2014 HF48,15.98
2014 HT158,16.3
2014 JB40,15.83
2014 OV185,16.29
2014 OZ240,16.21
2014 OB420,15.94
2014 OT428,15.91
2014 OJ469,16.28
2014 PB22,16.22
2014 PA104,16.2
2014 QX16,15.95
2014 QJ581,16.19
2014 SA384,15.82
2014 SV413,16.2
2014 TB118,16.22
2014 WL227,14.69
2014 WT350,16.05
2014 WV386,15.05
2014 WT495,16.04
2015 FK183,15.28
2015 FH471,15.85
2015 HU238,15.99
2015 MU199,15.99
2015 MD206,16.13
2015 NV21,16.2
2015 OS18,15.88
2015 PQ8,15.68
2015 PF23,14.95
2015 PD256,15.77
2015 TU104,16.05
2015 TY257,16.23
2015 TC304,16.06
2016 AD358,16.26
2016 CL190,15.62
2016 LS91,16.09
2016 NY91,16.12
2016 PE31,16.14
2016 QS38,16.19
2017 BG151,15.46
2017 ES33,15.93
2017 FO32,15.65
2017 FC55,16.21
2017 OC9,15.79
2017 PF47,16.04
2017 SQ241,15.91
2017 SR355,16.17
2017 UH109,16.3
2018 FT27,15.57
2018 PF65,16.28
2018 RS16,16.2
2019 AG70,16.26
2019 GM64,16.04
2019 GD92,15.64
2019 QV49,16.0
2020 BO23,16.26
2020 BX64,16.1
2020 BU73,16.29
2020 NT3,16.18
2021 DE17,15.71
2021 FA27,16.2
2021 RZ33,15.93
2021 RG87,16.07
2021 RD168,16.3
2021 TB6,16.26
2021 VH20,16.16
2022 DX17,15.96
2022 OQ64,15.99
2024 JK35,16.3
