idhere,H_mag
Schubart,10.03
Radzievskij,11.74
van den Bergh,11.85
Spacewatch,13.34
1992 OZ9,11.87
Hesiodos,12.41
1995 YB2,12.79
Murillo,12.24
1991 UA,12.97
1989 UA6,11.92
2000 EK46,13.25
2000 HU1,12.49
1999 ND26,13.2
Santorini,13.02
1999 VP61,13.07
Levi-Strauss,13.54
1998 RU22,13.72
Glukhovsky,13.1
1999 LP7,13.8
1981 EK47,13.77
Krasnoyarsk,13.26
1999 RA77,13.87
Velehrad,13.49
Mosigkau,13.37
1994 PS38,13.25
2001 QZ17,13.13
2002 RU61,14.27
2001 TZ84,14.08
2001 UK113,13.6
2000 SR202,14.22
2001 VW22,13.96
2000 SM77,14.35
2000 SS223,14.21
2001 OY60,14.37
2001 XN144,14.17
2002 RF12,14.01
2001 DV70,13.39
1998 BX,13.29
1997 EY5,14.16
2000 RW68,13.65
2001 TL98,13.59
1988 SL2,13.91
2000 TM4,14.43
2000 DS8,14.29
2000 GU62,13.78
2002 NS52,13.55
Demosthenes,14.38
2002 PK44,14.17
2003 OX21,13.76
2003 SU13,14.42
2004 BN38,14.65
2002 EX84,14.03
2002 ES112,14.18
2004 ND17,14.35
1998 AX1,14.8
1999 FA2,14.38
2001 OR24,14.26
2001 SP261,14.31
2002 PM124,14.45
2002 RP94,13.95
2003 QY39,14.1
2003 SN52,15.39
2003 SL259,14.84
2004 SQ20,14.68
2005 QS13,14.68
2001 SW273,14.48
2002 RO95,14.55
1998 RT5,14.14
1999 RS177,14.35
1999 UV44,14.23
1999 XP61,14.3
2002 GY69,14.2
2002 KM15,14.67
2003 GE55,14.63
2004 KK7,14.47
2005 MV49,14.99
2005 PD19,14.74
1993 FT57,14.79
1998 WY37,14.06
2002 GH129,14.6
2005 TN125,14.56
1998 TO11,15.31
2000 EW5,14.84
2005 VQ106,15.1
2000 DC27,14.56
2001 PN26,14.49
Sviderskiene,15.11
2004 TK186,14.69
2005 TN107,14.74
2002 RT42,15.05
2004 TK140,14.69
2005 WK97,15.02
1999 TS127,14.89
1999 VN59,14.39
1999 TH138,14.91
1999 TX215,14.5
1999 TM259,14.61
1999 XF6,14.45
2002 CV269,14.61
1998 RJ63,14.52
1999 TZ177,15.22
2006 WG80,14.71
2001 FG154,14.34
2000 EJ73,15.11
2005 UC144,15.03
2005 VZ17,14.72
1992 DJ6,14.42
2005 UD359,14.2
2005 XN8,15.31
2006 WX149,15.52
2006 XZ17,15.32
2000 ET15,15.37
2000 GR27,14.69
2000 WA21,14.65
2005 WZ101,14.31
2005 WY145,15.48
2002 SK40,14.6
2004 TT224,15.5
2005 TQ193,15.65
2005 VR114,15.44
2003 SJ61,14.66
2000 SO239,14.84
2001 VK3,14.96
2001 YH20,14.98
2001 YN20,14.95
2001 YD21,14.79
2002 AF36,14.39
2002 AL134,14.74
2004 BL2,14.64
2005 CU78,14.94
2000 VU21,14.83
2000 WT140,14.85
2002 AT47,15.38
1999 TK28,15.0
1999 TD239,14.73
2000 WK138,15.03
2000 WC140,14.95
2000 WQ144,14.76
2007 RW130,15.17
2007 RS155,15.41
1999 VQ181,15.59
2005 OH7,14.55
2005 TT127,15.27
2006 QH56,14.49
2006 QY113,14.75
2006 SK5,14.56
2005 QQ44,14.67
2005 UW13,14.99
2006 QL117,15.14
2008 AK106,15.54
2005 TV168,14.73
Hermanfrid,14.94
2001 QK43,14.65
2002 TV256,14.98
2001 PW53,14.81
2001 RN118,14.85
2002 XF45,14.81
2001 RA125,14.69
2007 KC,14.69
1996 GW4,14.8
2001 SF174,14.7
2003 BE57,15.1
2004 BV28,15.0
2005 EO31,14.83
2005 GC95,15.2
2001 XE229,15.2
2001 YS65,15.17
2002 WG20,15.19
2004 DN28,14.76
2005 JG89,14.63
2006 JY8,15.23
2001 XD105,15.11
2006 SE32,15.12
2002 CC308,15.67
2008 VO59,15.8
Honthyhanna,15.66
2009 WO252,15.41
1999 TL170,14.97
2005 QQ53,15.1
2005 SL61,14.79
2006 QC3,14.85
2007 RV140,15.06
2007 RB157,15.4
2007 TH165,14.99
2008 WA77,15.5
2002 GF133,15.16
2004 XO44,14.74
2005 LH53,14.97
2005 TN134,15.21
2005 UR279,14.82
2006 QS55,14.97
1999 TX132,15.03
2006 VV57,14.74
Tubman,15.01
2005 SW230,15.34
2006 FJ12,15.3
2009 DV66,15.43
2002 PY114,14.96
2002 TV19,14.73
2003 UH276,14.93
2009 DV77,15.33
2003 TV19,15.52
2003 WF65,15.0
2008 RS4,15.53
2008 SF300,15.43
2008 UR259,15.44
2002 PV155,15.27
2002 QC52,15.66
2002 RT181,14.98
2001 RO104,14.97
2002 RD81,14.96
2005 EP33,14.85
2001 RY149,15.03
2003 RZ20,14.67
2004 CC117,15.1
